id,profile_id,passport_id,updated_at,hours_spent,description
1031666,77877,233,2024-05-24T04:14:48.506228+00:00,1,[1h] Add new Dework Space for Research Guild - https://app.dework.xyz/nation3/research-guild-97191/overview
1031665,77877,233,2024-05-24T04:05:12.852784+00:00,1,[1h] Install Discord bot for <#963778953301094410> Coordinape Circle - https://discord.com/channels/690584551239581708/1243410361512886272
1031663,77877,233,2024-05-24T03:21:25.801639+00:00,0.5,[0.5h] Initiate transfer of Discord Server ownership.
1031387,77877,233,2024-05-22T04:04:54.401883+00:00,0.33,Assist supreme court judge - https://discord.com/channels/690584551239581708/976247334369378344/1242683461278498826
1031097,77877,233,2024-05-20T14:36:42.196206+00:00,0.33,Review and merge weekly SourceCred grain 🌾 distribution - https://github.com/nation3/sourcecred-instance/pull/265
1030958,77877,233,2024-05-18T06:04:22.468758+00:00,1,[1h] N3GOV-62: Stream Tokens From Sablier to DAO Agent - https://app.aragon.org/#/daos/ethereum/nation3agent.dao.eth/governance/proposals/0x18371e70d7c0cd13e4fd1356d3140b35301455d0_0x10
1030957,77877,233,2024-05-18T05:42:02.307368+00:00,2,[2h] Test Sablier streams on Sepolia.
1030956,77877,233,2024-05-18T05:39:54.174489+00:00,0.33,N3GOV-62: Stream Tokens From Sablier to DAO Agent - Approve Sablier to spend NATION tokens - https://app.aragon.org/#/daos/ethereum/nation3agent.dao.eth/governance/proposals/0x18371e70d7c0cd13e4fd1356d3140b35301455d0_0xf
1030955,77877,233,2024-05-18T05:29:42.038266+00:00,0.5,[0.5h] Change manager of `judges.nation3.eth` - https://app.aragon.org/#/daos/ethereum/nation3agent.dao.eth/governance/proposals/0x18371e70d7c0cd13e4fd1356d3140b35301455d0_0xe
1030953,77877,233,2024-05-18T01:33:24.927252+00:00,0.33,Signed and executed addition of new Ops Guild multisig owner - https://app.safe.global/eth:0x7eB51dd0AB4240681343dFf061f203C7DcfE7082/transactions/multisig_0x7eB51dd0AB4240681343dFf061f203C7DcfE7082_0x484f690519b687ffd551ff0e37944a79b6e375c4145218e606b9f0dbc0cfc21c
1030952,77877,233,2024-05-18T01:07:17.933942+00:00,0.33,Signed and executed reimbursement of gas fees to <@929427337429270538> - https://app.safe.global/eth:0x7eB51dd0AB4240681343dFf061f203C7DcfE7082/transactions/multisig_0x7eB51dd0AB4240681343dFf061f203C7DcfE7082_0x34b6bb6c0b4c584e5bbf78dea76aa23f3fc0552fbd745ed861000bf210a16930
1030819,77877,233,2024-05-16T08:02:36.753357+00:00,0.5,[0.5h] E-mailed Supreme Court Judges to see if we can re-establish contact with them - https://forum.nation3.org/t/electing-the-first-supreme-court-multisig/865
1030818,77877,233,2024-05-16T07:36:11.709166+00:00,0.33,"Executed ""Set ENS address"" for the DAO Agent - https://app.aragon.org/#/daos/ethereum/nation3agent.dao.eth/governance/proposals/0x18371e70d7c0cd13e4fd1356d3140b35301455d0_0xd"
